# R1/R2	R2p/R2
0.000000000000000000e+00	0.000000000000000000e+00
8.117352189138821172e-01	0.000000000000000000e+00
0.000000000000000000e+00	9.999997612759483623e-01
0.000000000000000000e+00	9.999997612759483623e-01
0.000000000000000000e+00	9.999997612759483623e-01
0.000000000000000000e+00	9.999997612759483623e-01
0.000000000000000000e+00	9.999997612759483623e-01
0.000000000000000000e+00	9.999997612759483623e-01
0.000000000000000000e+00	9.999997612759483623e-01
0.000000000000000000e+00	9.999997612759483623e-01
