R1/R2 (inner/outer bubble)	R2prime/R2
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
3.451285387077265288e-01	nan
