Density [log10(n)],Radius [log10(r)]
1.211332e+00,4.000000e+00
1.222850e+00,4.000000e+00
1.234367e+00,4.000000e+00
1.245884e+00,4.000000e+00
1.257402e+00,4.000000e+00
1.268919e+00,4.000000e+00
1.280436e+00,4.000000e+00
1.291954e+00,4.000000e+00
1.291976e+00,-1.000000e+00
1.390694e+00,-1.000000e+00
2.715658e+00,-1.000000e+00
