ID	ndens	temp	phi	nedens	heat	cool
1	1.00000e-04	3.16228e+03	1.000e+00	4.40000e-05	1.46350e-30	7.39560e-34
2	3.16228e-04	3.16228e+03	1.000e+00	1.01000e-04	4.22530e-30	5.48600e-33
3	1.00000e-03	3.16228e+03	1.000e+00	2.21000e-04	1.22510e-29	4.82270e-32
4	3.16228e-03	3.16228e+03	1.000e+00	4.63000e-04	3.55800e-29	5.38110e-31
5	1.00000e-02	3.16228e+03	1.000e+00	9.33000e-04	1.02520e-28	7.09000e-30
6	3.16228e-02	3.16228e+03	1.000e+00	1.83000e-03	2.90570e-28	9.75050e-29
7	1.00000e-01	3.16228e+03	1.000e+00	3.49000e-03	8.07760e-28	1.28880e-27
8	3.16228e-01	3.16228e+03	1.000e+00	6.54000e-03	2.20770e-27	1.56710e-26
9	1.00000e+00	3.16228e+03	1.000e+00	1.20000e-02	5.96050e-27	1.72610e-25
10	3.16228e+00	3.16228e+03	1.000e+00	2.14000e-02	1.59690e-26	1.73820e-24
11	1.00000e+01	3.16228e+03	1.000e+00	3.67000e-02	4.26110e-26	1.63840e-23
12	3.16228e+01	3.16228e+03	1.000e+00	5.95000e-02	1.13590e-25	1.45900e-22
13	1.00000e+02	3.16228e+03	1.000e+00	8.97000e-02	3.03360e-25	1.20830e-21
14	3.16228e+02	3.16228e+03	1.000e+00	1.23000e-01	8.11170e-25	8.61500e-21
15	1.00000e+03	3.16228e+03	1.000e+00	1.47000e-01	2.14850e-24	4.44400e-20
16	3.16228e+03	3.16228e+03	1.000e+00	1.60000e-01	6.35240e-24	2.00640e-19
17	1.00000e+04	3.16228e+03	1.000e+00	2.09000e-01	1.98950e-23	1.10170e-18
18	3.16228e+04	3.16228e+03	1.000e+00	5.89000e-01	6.28540e-23	4.18670e-18
19	1.00000e+05	3.16228e+03	1.000e+00	2.17000e+00	1.98960e-22	2.15270e-17
20	3.16228e+05	3.16228e+03	1.000e+00	4.60000e+00	6.27820e-22	1.60040e-16
21	1.00000e+06	3.16228e+03	1.000e+00	7.67000e+00	1.97360e-21	1.22840e-15
22	3.16228e+06	3.16228e+03	1.000e+00	8.82000e+00	6.21350e-21	7.03730e-15
23	1.00000e+07	3.16228e+03	1.000e+00	1.10000e+01	1.98370e-20	3.22880e-14
