ID	ndens	temp	phi	nedens	heat	cool
1	1.00000e-04	3.16228e+03	1.000e+00	4.42000e-05	1.46830e-30	3.74920e-33
2	3.16228e-04	3.16228e+03	1.000e+00	1.02000e-04	4.23850e-30	2.63550e-32
3	1.00000e-03	3.16228e+03	1.000e+00	2.22000e-04	1.22880e-29	1.87220e-31
4	3.16228e-03	3.16228e+03	1.000e+00	4.64000e-04	3.56850e-29	1.38710e-30
5	1.00000e-02	3.16228e+03	1.000e+00	9.35000e-04	1.02810e-28	1.09540e-29
6	3.16228e-02	3.16228e+03	1.000e+00	1.83000e-03	2.91280e-28	9.13290e-29
7	1.00000e-01	3.16228e+03	1.000e+00	3.49000e-03	8.09220e-28	7.80810e-28
8	3.16228e-01	3.16228e+03	1.000e+00	6.52000e-03	2.20940e-27	6.71400e-27
9	1.00000e+00	3.16228e+03	1.000e+00	1.19000e-02	5.95560e-27	5.79700e-26
10	3.16228e+00	3.16228e+03	1.000e+00	2.12000e-02	1.59190e-26	5.04450e-25
11	1.00000e+01	3.16228e+03	1.000e+00	3.60000e-02	4.22830e-26	4.42440e-24
12	3.16228e+01	3.16228e+03	1.000e+00	5.74000e-02	1.11420e-25	3.88310e-23
13	1.00000e+02	3.16228e+03	1.000e+00	8.47000e-02	2.87330e-25	3.39330e-22
14	3.16228e+02	3.16228e+03	1.000e+00	1.13000e-01	7.44340e-25	3.96560e-21
15	1.00000e+03	3.16228e+03	1.000e+00	1.38000e-01	2.01760e-24	4.24160e-20
16	3.16228e+03	3.16228e+03	1.000e+00	1.55000e-01	6.25020e-24	3.77200e-19
17	1.00000e+04	3.16228e+03	1.000e+00	1.86000e-01	1.97640e-23	3.14870e-18
18	3.16228e+04	3.16228e+03	1.000e+00	3.15000e-01	6.24510e-23	2.26740e-17
19	1.00000e+05	3.16228e+03	1.000e+00	8.45000e-01	1.97460e-22	1.92050e-16
20	3.16228e+05	3.16228e+03	1.000e+00	2.09000e+00	6.24430e-22	1.50830e-15
21	1.00000e+06	3.16228e+03	1.000e+00	4.95000e+00	1.97480e-21	1.01630e-14
22	3.16228e+06	3.16228e+03	1.000e+00	1.11000e+01	6.24540e-21	5.52360e-14
23	1.00000e+07	3.16228e+03	1.000e+00	2.43000e+01	1.97510e-20	2.34880e-13
24	3.16228e+07	3.16228e+03	1.000e+00	5.10000e+01	6.24620e-20	8.49830e-13
25	1.00000e+08	3.16228e+03	1.000e+00	1.04000e+02	1.97550e-19	2.87010e-12
26	3.16228e+08	3.16228e+03	1.000e+00	2.10000e+02	6.24780e-19	9.42170e-12
27	1.00000e+09	3.16228e+03	1.000e+00	4.31000e+02	1.97580e-18	3.05190e-11
28	3.16228e+09	3.16228e+03	1.000e+00	9.24000e+02	6.24830e-18	9.83530e-11
29	1.00000e+10	3.16228e+03	1.000e+00	2.15000e+03	1.97590e-17	3.16770e-10
