ID	ndens	temp	phi	nedens	heat	cool
1	1.00000e-04	3.16228e+03	1.000e+00	4.43000e-05	1.46610e-30	7.53040e-34
2	3.16228e-04	3.16228e+03	1.000e+00	1.02000e-04	4.23030e-30	5.54170e-33
3	1.00000e-03	3.16228e+03	1.000e+00	2.22000e-04	1.22600e-29	4.79380e-32
4	3.16228e-03	3.16228e+03	1.000e+00	4.65000e-04	3.56000e-29	5.28240e-31
5	1.00000e-02	3.16228e+03	1.000e+00	9.36000e-04	1.02570e-28	6.94260e-30
6	3.16228e-02	3.16228e+03	1.000e+00	1.83000e-03	2.90700e-28	9.57890e-29
7	1.00000e-01	3.16228e+03	1.000e+00	3.50000e-03	8.08090e-28	1.27220e-27
8	3.16228e-01	3.16228e+03	1.000e+00	6.55000e-03	2.20850e-27	1.55410e-26
9	1.00000e+00	3.16228e+03	1.000e+00	1.20000e-02	5.96180e-27	1.71780e-25
10	3.16228e+00	3.16228e+03	1.000e+00	2.15000e-02	1.59700e-26	1.73390e-24
11	1.00000e+01	3.16228e+03	1.000e+00	3.68000e-02	4.26060e-26	1.63640e-23
12	3.16228e+01	3.16228e+03	1.000e+00	5.96000e-02	1.13550e-25	1.45840e-22
13	1.00000e+02	3.16228e+03	1.000e+00	8.99000e-02	3.03170e-25	1.20850e-21
14	3.16228e+02	3.16228e+03	1.000e+00	1.23000e-01	8.10320e-25	8.61840e-21
15	1.00000e+03	3.16228e+03	1.000e+00	1.48000e-01	2.14630e-24	4.46640e-20
16	3.16228e+03	3.16228e+03	1.000e+00	1.60000e-01	6.34360e-24	2.00500e-19
17	1.00000e+04	3.16228e+03	1.000e+00	2.09000e-01	1.98680e-23	1.10240e-18
18	3.16228e+04	3.16228e+03	1.000e+00	5.91000e-01	6.27680e-23	4.19350e-18
19	1.00000e+05	3.16228e+03	1.000e+00	2.17000e+00	1.98690e-22	2.15480e-17
20	3.16228e+05	3.16228e+03	1.000e+00	4.61000e+00	6.26950e-22	1.60200e-16
21	1.00000e+06	3.16228e+03	1.000e+00	7.73000e+00	1.97130e-21	1.22920e-15
