ID	ndens	temp	phi	nedens	heat	cool
1	1.00000e-04	3.16228e+03	1.000e+00	4.42000e-05	1.46820e-30	3.74980e-33
2	3.16228e-04	3.16228e+03	1.000e+00	1.01000e-04	4.23820e-30	2.63560e-32
3	1.00000e-03	3.16228e+03	1.000e+00	2.22000e-04	1.22880e-29	1.87210e-31
4	3.16228e-03	3.16228e+03	1.000e+00	4.64000e-04	3.56840e-29	1.38690e-30
5	1.00000e-02	3.16228e+03	1.000e+00	9.35000e-04	1.02800e-28	1.09530e-29
6	3.16228e-02	3.16228e+03	1.000e+00	1.83000e-03	2.91270e-28	9.13200e-29
7	1.00000e-01	3.16228e+03	1.000e+00	3.49000e-03	8.09200e-28	7.80760e-28
8	3.16228e-01	3.16228e+03	1.000e+00	6.52000e-03	2.20930e-27	6.71380e-27
9	1.00000e+00	3.16228e+03	1.000e+00	1.19000e-02	5.95550e-27	5.79690e-26
10	3.16228e+00	3.16228e+03	1.000e+00	2.12000e-02	1.59190e-26	5.04450e-25
11	1.00000e+01	3.16228e+03	1.000e+00	3.60000e-02	4.22830e-26	4.42440e-24
12	3.16228e+01	3.16228e+03	1.000e+00	5.74000e-02	1.11420e-25	3.88300e-23
13	1.00000e+02	3.16228e+03	1.000e+00	8.46000e-02	2.87320e-25	3.39220e-22
14	3.16228e+02	3.16228e+03	1.000e+00	1.14000e-01	7.44470e-25	3.97080e-21
15	1.00000e+03	3.16228e+03	1.000e+00	1.38000e-01	2.01720e-24	4.23690e-20
16	3.16228e+03	3.16228e+03	1.000e+00	1.51000e-01	6.24950e-24	3.60990e-19
17	1.00000e+04	3.16228e+03	1.000e+00	1.86000e-01	1.97650e-23	3.14820e-18
18	3.16228e+04	3.16228e+03	1.000e+00	3.15000e-01	6.24550e-23	2.26740e-17
19	1.00000e+05	3.16228e+03	1.000e+00	8.45000e-01	1.97480e-22	1.92050e-16
20	3.16228e+05	3.16228e+03	1.000e+00	2.09000e+00	6.24460e-22	1.50830e-15
21	1.00000e+06	3.16228e+03	1.000e+00	4.95000e+00	1.97490e-21	1.01630e-14
22	3.16228e+06	3.16228e+03	1.000e+00	1.11000e+01	6.24580e-21	5.52360e-14
23	1.00000e+07	3.16228e+03	1.000e+00	2.43000e+01	1.97520e-20	2.34880e-13
24	3.16228e+07	3.16228e+03	1.000e+00	5.10000e+01	6.24650e-20	8.49840e-13
25	1.00000e+08	3.16228e+03	1.000e+00	1.04000e+02	1.97560e-19	2.87010e-12
26	3.16228e+08	3.16228e+03	1.000e+00	2.10000e+02	6.24810e-19	9.42170e-12
27	1.00000e+09	3.16228e+03	1.000e+00	4.31000e+02	1.97590e-18	3.05190e-11
28	3.16228e+09	3.16228e+03	1.000e+00	9.24000e+02	6.24860e-18	9.83530e-11
29	1.00000e+10	3.16228e+03	1.000e+00	2.15000e+03	1.97600e-17	3.16770e-10
30	3.16228e+10	3.16228e+03	1.000e+00	5.56000e+03	6.24870e-17	1.02340e-09
31	1.00000e+11	3.16228e+03	1.000e+00	1.59000e+04	1.97600e-16	3.37440e-09
32	3.16228e+11	3.16228e+03	1.000e+00	4.82000e+04	6.24920e-16	1.19400e-08
33	1.00000e+12	3.16228e+03	1.000e+00	1.50000e+05	1.97640e-15	5.03900e-08
34	1.00000e-04	3.16228e+03	1.000e+01	5.38000e-05	1.57420e-30	4.81290e-33
35	3.16228e-04	3.16228e+03	1.000e+01	1.21000e-04	4.47560e-30	3.28120e-32
36	1.00000e-03	3.16228e+03	1.000e+01	2.59000e-04	1.28290e-29	2.23030e-31
37	3.16228e-03	3.16228e+03	1.000e+01	5.31000e-04	3.70770e-29	1.57380e-30
38	1.00000e-02	3.16228e+03	1.000e+01	1.06000e-03	1.06850e-28	1.19140e-29
39	3.16228e-02	3.16228e+03	1.000e+01	2.04000e-03	3.03530e-28	9.65390e-29
40	1.00000e-01	3.16228e+03	1.000e+01	3.86000e-03	8.45850e-28	8.11810e-28
41	3.16228e-01	3.16228e+03	1.000e+01	7.16000e-03	2.31610e-27	6.91050e-27
42	1.00000e+00	3.16228e+03	1.000e+01	1.30000e-02	6.26120e-27	5.92210e-26
43	3.16228e+00	3.16228e+03	1.000e+01	2.31000e-02	1.67930e-26	5.12260e-25
44	1.00000e+01	3.16228e+03	1.000e+01	3.92000e-02	4.48090e-26	4.47640e-24
45	3.16228e+01	3.16228e+03	1.000e+01	6.28000e-02	1.18810e-25	3.92430e-23
46	1.00000e+02	3.16228e+03	1.000e+01	9.31000e-02	3.09190e-25	3.43290e-22
47	3.16228e+02	3.16228e+03	1.000e+01	1.26000e-01	8.06640e-25	4.00940e-21
48	1.00000e+03	3.16228e+03	1.000e+01	1.53000e-01	2.19700e-24	4.32670e-20
49	3.16228e+03	3.16228e+03	1.000e+01	1.74000e-01	6.72640e-24	3.82430e-19
50	1.00000e+04	3.16228e+03	1.000e+01	1.68000e-01	2.12310e-23	2.61260e-18
51	3.16228e+04	3.16228e+03	1.000e+01	3.32000e-01	6.72050e-23	2.26640e-17
52	1.00000e+05	3.16228e+03	1.000e+01	8.76000e-01	2.12500e-22	1.92020e-16
53	3.16228e+05	3.16228e+03	1.000e+01	2.13000e+00	6.71970e-22	1.50690e-15
54	1.00000e+06	3.16228e+03	1.000e+01	5.06000e+00	2.12520e-21	1.01500e-14
55	3.16228e+06	3.16228e+03	1.000e+01	1.14000e+01	6.72090e-21	5.51220e-14
56	1.00000e+07	3.16228e+03	1.000e+01	2.52000e+01	2.12550e-20	2.34220e-13
57	3.16228e+07	3.16228e+03	1.000e+01	5.32000e+01	6.72180e-20	8.47220e-13
58	1.00000e+08	3.16228e+03	1.000e+01	1.09000e+02	2.12590e-19	2.86230e-12
59	3.16228e+08	3.16228e+03	1.000e+01	2.20000e+02	6.72370e-19	9.40230e-12
60	1.00000e+09	3.16228e+03	1.000e+01	4.52000e+02	2.12640e-18	3.04780e-11
61	3.16228e+09	3.16228e+03	1.000e+01	9.61000e+02	6.72430e-18	9.82800e-11
62	1.00000e+10	3.16228e+03	1.000e+01	2.21000e+03	2.12640e-17	3.16670e-10
63	3.16228e+10	3.16228e+03	1.000e+01	5.65000e+03	6.72440e-17	1.02340e-09
64	1.00000e+11	3.16228e+03	1.000e+01	1.60000e+04	2.12650e-16	3.37470e-09
65	3.16228e+11	3.16228e+03	1.000e+01	4.84000e+04	6.72500e-16	1.19420e-08
66	1.00000e+12	3.16228e+03	1.000e+01	1.50000e+05	2.12690e-15	5.03950e-08
67	1.00000e-04	3.16228e+03	1.000e+02	8.58000e-05	1.90790e-30	8.16250e-33
68	3.16228e-04	3.16228e+03	1.000e+02	2.11000e-04	5.55120e-30	6.05040e-32
69	1.00000e-03	3.16228e+03	1.000e+02	4.67000e-04	1.58630e-29	4.07570e-31
70	3.16228e-03	3.16228e+03	1.000e+02	9.58000e-04	4.54910e-29	2.65620e-30
71	1.00000e-02	3.16228e+03	1.000e+02	1.87000e-03	1.32170e-28	1.78980e-29
72	3.16228e-02	3.16228e+03	1.000e+02	3.54000e-03	3.84560e-28	1.29780e-28
73	1.00000e-01	3.16228e+03	1.000e+02	6.55000e-03	1.10480e-27	1.01170e-27
74	3.16228e-01	3.16228e+03	1.000e+02	1.19000e-02	3.12040e-27	8.22060e-27
75	1.00000e+00	3.16228e+03	1.000e+02	2.14000e-02	8.69520e-27	6.80160e-26
76	3.16228e+00	3.16228e+03	1.000e+02	3.76000e-02	2.40630e-26	5.69730e-25
77	1.00000e+01	3.16228e+03	1.000e+02	6.44000e-02	6.65200e-26	4.84650e-24
78	3.16228e+01	3.16228e+03	1.000e+02	1.05000e-01	1.84050e-25	4.18570e-23
79	1.00000e+02	3.16228e+03	1.000e+02	1.62000e-01	5.06300e-25	3.65890e-22
80	3.16228e+02	3.16228e+03	1.000e+02	2.29000e-01	1.38220e-24	3.95600e-21
81	1.00000e+03	3.16228e+03	1.000e+02	2.94000e-01	3.92080e-24	4.75110e-20
82	3.16228e+03	3.16228e+03	1.000e+02	3.50000e-01	1.14780e-23	4.22390e-19
83	1.00000e+04	3.16228e+03	1.000e+02	4.35000e-01	3.62810e-23	3.36690e-18
84	3.16228e+04	3.16228e+03	1.000e+02	9.16000e-01	1.14610e-22	2.37320e-17
85	1.00000e+05	3.16228e+03	1.000e+02	2.25000e+00	3.62800e-22	1.92920e-16
86	3.16228e+05	3.16228e+03	1.000e+02	2.60000e+00	1.14710e-21	1.50240e-15
87	1.00000e+06	3.16228e+03	1.000e+02	5.96000e+00	3.62770e-21	1.00900e-14
88	3.16228e+06	3.16228e+03	1.000e+02	1.34000e+01	1.14730e-20	5.46050e-14
89	1.00000e+07	3.16228e+03	1.000e+02	3.09000e+01	3.62830e-20	2.30840e-13
90	3.16228e+07	3.16228e+03	1.000e+02	6.89000e+01	1.14750e-19	8.32320e-13
91	1.00000e+08	3.16228e+03	1.000e+02	1.45000e+02	3.62950e-19	2.81320e-12
92	3.16228e+08	3.16228e+03	1.000e+02	2.97000e+02	1.14790e-18	9.27140e-12
93	1.00000e+09	3.16228e+03	1.000e+02	6.05000e+02	3.63050e-18	3.01840e-11
94	3.16228e+09	3.16228e+03	1.000e+02	1.25000e+03	1.14810e-17	9.77190e-11
95	1.00000e+10	3.16228e+03	1.000e+02	2.72000e+03	3.63080e-17	3.15840e-10
96	3.16228e+10	3.16228e+03	1.000e+02	6.45000e+03	1.14820e-16	1.02300e-09
97	1.00000e+11	3.16228e+03	1.000e+02	1.71000e+04	3.63100e-16	3.37790e-09
98	3.16228e+11	3.16228e+03	1.000e+02	4.95000e+04	1.14840e-15	1.19580e-08
