ID	ndens	temp	phi	nedens	heat	cool
1	1.00000e-04	3.16228e+03	1.000e+00	4.41000e-05	1.46710e-30	3.73770e-33
2	3.16228e-04	3.16228e+03	1.000e+00	1.01000e-04	4.23610e-30	2.62850e-32
3	1.00000e-03	3.16228e+03	1.000e+00	2.21000e-04	1.22840e-29	1.86820e-31
4	3.16228e-03	3.16228e+03	1.000e+00	4.63000e-04	3.56760e-29	1.38480e-30
5	1.00000e-02	3.16228e+03	1.000e+00	9.33000e-04	1.02780e-28	1.09420e-29
6	3.16228e-02	3.16228e+03	1.000e+00	1.82000e-03	2.91220e-28	9.12640e-29
7	1.00000e-01	3.16228e+03	1.000e+00	3.48000e-03	8.09070e-28	7.80450e-28
8	3.16228e-01	3.16228e+03	1.000e+00	6.51000e-03	2.20900e-27	6.71200e-27
9	1.00000e+00	3.16228e+03	1.000e+00	1.19000e-02	5.95500e-27	5.79580e-26
10	3.16228e+00	3.16228e+03	1.000e+00	2.12000e-02	1.59190e-26	5.04400e-25
11	1.00000e+01	3.16228e+03	1.000e+00	3.60000e-02	4.22850e-26	4.42400e-24
12	3.16228e+01	3.16228e+03	1.000e+00	5.74000e-02	1.11430e-25	3.88240e-23
13	1.00000e+02	3.16228e+03	1.000e+00	8.45000e-02	2.87330e-25	3.39090e-22
14	3.16228e+02	3.16228e+03	1.000e+00	1.14000e-01	7.45560e-25	3.97660e-21
15	1.00000e+03	3.16228e+03	1.000e+00	1.38000e-01	2.01760e-24	4.23640e-20
16	3.16228e+03	3.16228e+03	1.000e+00	1.54000e-01	6.25410e-24	3.76910e-19
17	1.00000e+04	3.16228e+03	1.000e+00	1.86000e-01	1.97770e-23	3.14880e-18
18	3.16228e+04	3.16228e+03	1.000e+00	3.15000e-01	6.24910e-23	2.26740e-17
19	1.00000e+05	3.16228e+03	1.000e+00	8.44000e-01	1.97590e-22	1.92050e-16
20	3.16228e+05	3.16228e+03	1.000e+00	2.09000e+00	6.24820e-22	1.50830e-15
21	1.00000e+06	3.16228e+03	1.000e+00	4.95000e+00	1.97600e-21	1.01630e-14
22	3.16228e+06	3.16228e+03	1.000e+00	1.11000e+01	6.24930e-21	5.52380e-14
23	1.00000e+07	3.16228e+03	1.000e+00	2.43000e+01	1.97630e-20	2.34890e-13
24	3.16228e+07	3.16228e+03	1.000e+00	5.09000e+01	6.25010e-20	8.49870e-13
25	1.00000e+08	3.16228e+03	1.000e+00	1.04000e+02	1.97670e-19	2.87020e-12
26	3.16228e+08	3.16228e+03	1.000e+00	2.10000e+02	6.25170e-19	9.42190e-12
27	1.00000e+09	3.16228e+03	1.000e+00	4.31000e+02	1.97710e-18	3.05190e-11
28	3.16228e+09	3.16228e+03	1.000e+00	9.24000e+02	6.25230e-18	9.83540e-11
29	1.00000e+10	3.16228e+03	1.000e+00	2.14000e+03	1.97720e-17	3.16770e-10
30	3.16228e+10	3.16228e+03	1.000e+00	5.56000e+03	6.25230e-17	1.02340e-09
31	1.00000e+11	3.16228e+03	1.000e+00	1.59000e+04	1.97720e-16	3.37440e-09
32	3.16228e+11	3.16228e+03	1.000e+00	4.82000e+04	6.25280e-16	1.19400e-08
33	1.00000e+12	3.16228e+03	1.000e+00	1.50000e+05	1.97750e-15	5.03900e-08
34	1.00000e-04	3.16228e+03	1.000e+01	5.30000e-05	1.56690e-30	4.76880e-33
35	3.16228e-04	3.16228e+03	1.000e+01	1.19000e-04	4.46000e-30	3.24550e-32
36	1.00000e-03	3.16228e+03	1.000e+01	2.55000e-04	1.28000e-29	2.20540e-31
37	3.16228e-03	3.16228e+03	1.000e+01	5.25000e-04	3.70190e-29	1.55810e-30
38	1.00000e-02	3.16228e+03	1.000e+01	1.04000e-03	1.06710e-28	1.18230e-29
39	3.16228e-02	3.16228e+03	1.000e+01	2.02000e-03	3.03160e-28	9.60390e-29
40	1.00000e-01	3.16228e+03	1.000e+01	3.82000e-03	8.44910e-28	8.09000e-28
41	3.16228e-01	3.16228e+03	1.000e+01	7.09000e-03	2.31400e-27	6.89380e-27
42	1.00000e+00	3.16228e+03	1.000e+01	1.29000e-02	6.25820e-27	5.91220e-26
43	3.16228e+00	3.16228e+03	1.000e+01	2.29000e-02	1.67940e-26	5.11710e-25
44	1.00000e+01	3.16228e+03	1.000e+01	3.89000e-02	4.48370e-26	4.47230e-24
45	3.16228e+01	3.16228e+03	1.000e+01	6.22000e-02	1.18970e-25	3.92110e-23
46	1.00000e+02	3.16228e+03	1.000e+01	9.20000e-02	3.09580e-25	3.42430e-22
47	3.16228e+02	3.16228e+03	1.000e+01	1.25000e-01	8.08850e-25	3.99320e-21
48	1.00000e+03	3.16228e+03	1.000e+01	1.52000e-01	2.20560e-24	4.31060e-20
49	3.16228e+03	3.16228e+03	1.000e+01	1.72000e-01	6.76230e-24	3.81400e-19
50	1.00000e+04	3.16228e+03	1.000e+01	1.65000e-01	2.13440e-23	2.59750e-18
51	3.16228e+04	3.16228e+03	1.000e+01	3.30000e-01	6.75640e-23	2.26640e-17
52	1.00000e+05	3.16228e+03	1.000e+01	8.73000e-01	2.13640e-22	1.92020e-16
53	3.16228e+05	3.16228e+03	1.000e+01	2.13000e+00	6.75560e-22	1.50700e-15
54	1.00000e+06	3.16228e+03	1.000e+01	5.06000e+00	2.13650e-21	1.01510e-14
55	3.16228e+06	3.16228e+03	1.000e+01	1.14000e+01	6.75680e-21	5.51340e-14
56	1.00000e+07	3.16228e+03	1.000e+01	2.51000e+01	2.13680e-20	2.34290e-13
57	3.16228e+07	3.16228e+03	1.000e+01	5.30000e+01	6.75780e-20	8.47500e-13
58	1.00000e+08	3.16228e+03	1.000e+01	1.08000e+02	2.13740e-19	2.86310e-12
59	3.16228e+08	3.16228e+03	1.000e+01	2.19000e+02	6.75990e-19	9.40440e-12
60	1.00000e+09	3.16228e+03	1.000e+01	4.50000e+02	2.13780e-18	3.04820e-11
61	3.16228e+09	3.16228e+03	1.000e+01	9.58000e+02	6.76060e-18	9.82880e-11
62	1.00000e+10	3.16228e+03	1.000e+01	2.20000e+03	2.13790e-17	3.16680e-10
63	3.16228e+10	3.16228e+03	1.000e+01	5.64000e+03	6.76070e-17	1.02340e-09
64	1.00000e+11	3.16228e+03	1.000e+01	1.60000e+04	2.13800e-16	3.37470e-09
65	3.16228e+11	3.16228e+03	1.000e+01	4.83000e+04	6.76130e-16	1.19410e-08
66	1.00000e+12	3.16228e+03	1.000e+01	1.50000e+05	2.13840e-15	5.03950e-08
67	1.00000e-04	3.16228e+03	1.000e+02	8.48000e-05	1.90380e-30	8.16410e-33
68	3.16228e-04	3.16228e+03	1.000e+02	2.06000e-04	5.53270e-30	5.98250e-32
69	1.00000e-03	3.16228e+03	1.000e+02	4.54000e-04	1.58210e-29	4.00070e-31
70	3.16228e-03	3.16228e+03	1.000e+02	9.28000e-04	4.54800e-29	2.59830e-30
71	1.00000e-02	3.16228e+03	1.000e+02	1.81000e-03	1.32420e-28	1.75100e-29
72	3.16228e-02	3.16228e+03	1.000e+02	3.42000e-03	3.85650e-28	1.27350e-28
73	1.00000e-01	3.16228e+03	1.000e+02	6.33000e-03	1.10850e-27	9.97010e-28
74	3.16228e-01	3.16228e+03	1.000e+02	1.15000e-02	3.13330e-27	8.12920e-27
75	1.00000e+00	3.16228e+03	1.000e+02	2.07000e-02	8.74460e-27	6.74280e-26
76	3.16228e+00	3.16228e+03	1.000e+02	3.63000e-02	2.42570e-26	5.66010e-25
