ID	ndens	temp	phi	nedens	heat	cool
1	1.00000e-04	3.16228e+03	1.000e+00	4.39000e-05	1.46230e-30	7.35460e-34
2	3.16228e-04	3.16228e+03	1.000e+00	1.01000e-04	4.22290e-30	5.46680e-33
3	1.00000e-03	3.16228e+03	1.000e+00	2.21000e-04	1.22460e-29	4.81650e-32
4	3.16228e-03	3.16228e+03	1.000e+00	4.62000e-04	3.55700e-29	5.38180e-31
5	1.00000e-02	3.16228e+03	1.000e+00	9.32000e-04	1.02500e-28	7.09490e-30
6	3.16228e-02	3.16228e+03	1.000e+00	1.82000e-03	2.90500e-28	9.75820e-29
7	1.00000e-01	3.16228e+03	1.000e+00	3.48000e-03	8.07580e-28	1.28960e-27
8	3.16228e-01	3.16228e+03	1.000e+00	6.53000e-03	2.20730e-27	1.56780e-26
9	1.00000e+00	3.16228e+03	1.000e+00	1.20000e-02	5.95970e-27	1.72650e-25
10	3.16228e+00	3.16228e+03	1.000e+00	2.14000e-02	1.59670e-26	1.73840e-24
11	1.00000e+01	3.16228e+03	1.000e+00	3.67000e-02	4.26110e-26	1.63830e-23
12	3.16228e+01	3.16228e+03	1.000e+00	5.94000e-02	1.13590e-25	1.45880e-22
13	1.00000e+02	3.16228e+03	1.000e+00	8.96000e-02	3.03410e-25	1.20800e-21
14	3.16228e+02	3.16228e+03	1.000e+00	1.23000e-01	8.11360e-25	8.60980e-21
15	1.00000e+03	3.16228e+03	1.000e+00	1.47000e-01	2.14830e-24	4.43130e-20
16	3.16228e+03	3.16228e+03	1.000e+00	1.60000e-01	6.35470e-24	2.00540e-19
17	1.00000e+04	3.16228e+03	1.000e+00	2.09000e-01	1.99040e-23	1.10160e-18
18	3.16228e+04	3.16228e+03	1.000e+00	5.88000e-01	6.28830e-23	4.18460e-18
19	1.00000e+05	3.16228e+03	1.000e+00	2.16000e+00	1.99050e-22	2.15200e-17
20	3.16228e+05	3.16228e+03	1.000e+00	4.60000e+00	6.28110e-22	1.59980e-16
21	1.00000e+06	3.16228e+03	1.000e+00	7.66000e+00	1.97450e-21	1.22820e-15
22	3.16228e+06	3.16228e+03	1.000e+00	4.94000e+00	6.21620e-21	6.54540e-15
23	1.00000e+07	3.16228e+03	1.000e+00	1.10000e+01	1.98460e-20	3.22880e-14
24	3.16228e+07	3.16228e+03	1.000e+00	2.56000e+01	6.27650e-20	1.14800e-13
25	1.00000e+08	3.16228e+03	1.000e+00	5.74000e+01	1.98530e-19	3.81180e-13
26	3.16228e+08	3.16228e+03	1.000e+00	1.29000e+02	6.27900e-19	1.23510e-12
27	1.00000e+09	3.16228e+03	1.000e+00	2.81000e+02	1.98580e-18	3.96580e-12
28	3.16228e+09	3.16228e+03	1.000e+00	5.92000e+02	6.27990e-18	1.27600e-11
29	1.00000e+10	3.16228e+03	1.000e+00	1.24000e+03	1.98600e-17	4.14440e-11
30	3.16228e+10	3.16228e+03	1.000e+00	2.63000e+03	6.28040e-17	1.36390e-10
31	1.00000e+11	3.16228e+03	1.000e+00	5.87000e+03	1.98610e-16	4.58210e-10
32	3.16228e+11	3.16228e+03	1.000e+00	1.43000e+04	6.28080e-16	1.58840e-09
33	1.00000e+12	3.16228e+03	1.000e+00	3.96000e+04	1.98630e-15	6.04510e-09
34	1.00000e-04	3.16228e+03	1.000e+01	5.23000e-05	1.55760e-30	9.38280e-34
35	3.16228e-04	3.16228e+03	1.000e+01	1.18000e-04	4.43630e-30	6.55130e-33
36	1.00000e-03	3.16228e+03	1.000e+01	2.53000e-04	1.27410e-29	5.34720e-32
37	3.16228e-03	3.16228e+03	1.000e+01	5.20000e-04	3.68650e-29	5.62790e-31
38	1.00000e-02	3.16228e+03	1.000e+01	1.03000e-03	1.06290e-28	7.20400e-30
39	3.16228e-02	3.16228e+03	1.000e+01	2.00000e-03	3.02060e-28	9.79520e-29
40	1.00000e-01	3.16228e+03	1.000e+01	3.80000e-03	8.42350e-28	1.29030e-27
41	3.16228e-01	3.16228e+03	1.000e+01	7.07000e-03	2.30950e-27	1.57110e-26
42	1.00000e+00	3.16228e+03	1.000e+01	1.29000e-02	6.25620e-27	1.73620e-25
43	3.16228e+00	3.16228e+03	1.000e+01	2.30000e-02	1.68280e-26	1.75360e-24
44	1.00000e+01	3.16228e+03	1.000e+01	3.93000e-02	4.51350e-26	1.65690e-23
45	3.16228e+01	3.16228e+03	1.000e+01	6.39000e-02	1.21090e-25	1.48070e-22
46	1.00000e+02	3.16228e+03	1.000e+01	9.69000e-02	3.25850e-25	1.23460e-21
47	3.16228e+02	3.16228e+03	1.000e+01	1.34000e-01	8.78550e-25	8.91180e-21
48	1.00000e+03	3.16228e+03	1.000e+01	1.61000e-01	2.34990e-24	4.68360e-20
49	3.16228e+03	3.16228e+03	1.000e+01	1.76000e-01	6.88760e-24	2.07540e-19
50	1.00000e+04	3.16228e+03	1.000e+01	2.28000e-01	2.15610e-23	1.11640e-18
51	3.16228e+04	3.16228e+03	1.000e+01	6.26000e-01	6.81180e-23	4.23740e-18
52	1.00000e+05	3.16228e+03	1.000e+01	2.31000e+00	2.15610e-22	2.14410e-17
53	3.16228e+05	3.16228e+03	1.000e+01	4.92000e+00	6.80440e-22	1.58550e-16
54	1.00000e+06	3.16228e+03	1.000e+01	8.31000e+00	2.14040e-21	1.21970e-15
55	3.16228e+06	3.16228e+03	1.000e+01	1.14000e+01	6.73490e-21	7.32610e-15
56	1.00000e+07	3.16228e+03	1.000e+01	1.14000e+01	2.14960e-20	3.22750e-14
57	3.16228e+07	3.16228e+03	1.000e+01	2.62000e+01	6.79830e-20	1.14770e-13
58	1.00000e+08	3.16228e+03	1.000e+01	5.87000e+01	2.15040e-19	3.81110e-13
59	3.16228e+08	3.16228e+03	1.000e+01	1.33000e+02	6.80140e-19	1.23500e-12
60	1.00000e+09	3.16228e+03	1.000e+01	2.90000e+02	2.15100e-18	3.96530e-12
61	3.16228e+09	3.16228e+03	1.000e+01	6.15000e+02	6.80250e-18	1.27540e-11
62	1.00000e+10	3.16228e+03	1.000e+01	1.29000e+03	2.15120e-17	4.13920e-11
63	3.16228e+10	3.16228e+03	1.000e+01	2.73000e+03	6.80300e-17	1.36120e-10
64	1.00000e+11	3.16228e+03	1.000e+01	6.04000e+03	2.15140e-16	4.57440e-10
65	3.16228e+11	3.16228e+03	1.000e+01	1.46000e+04	6.80350e-16	1.58860e-09
66	1.00000e+12	3.16228e+03	1.000e+01	3.99000e+04	2.15160e-15	6.05020e-09
67	1.00000e-04	3.16228e+03	1.000e+02	8.41000e-05	1.89670e-30	1.74910e-33
68	3.16228e-04	3.16228e+03	1.000e+02	2.03000e-04	5.50470e-30	1.21090e-32
69	1.00000e-03	3.16228e+03	1.000e+02	4.44000e-04	1.57380e-29	8.11550e-32
70	3.16228e-03	3.16228e+03	1.000e+02	9.05000e-04	4.52850e-29	6.48780e-31
71	1.00000e-02	3.16228e+03	1.000e+02	1.76000e-03	1.31960e-28	7.01850e-30
72	3.16228e-02	3.16228e+03	1.000e+02	3.33000e-03	3.84410e-28	9.10840e-29
73	1.00000e-01	3.16228e+03	1.000e+02	6.17000e-03	1.10510e-27	1.20850e-27
74	3.16228e-01	3.16228e+03	1.000e+02	1.12000e-02	3.12580e-27	1.51640e-26
75	1.00000e+00	3.16228e+03	1.000e+02	2.02000e-02	8.73730e-27	1.74330e-25
76	3.16228e+00	3.16228e+03	1.000e+02	3.56000e-02	2.43010e-26	1.82220e-24
77	1.00000e+01	3.16228e+03	1.000e+02	6.11000e-02	6.76750e-26	1.76330e-23
78	3.16228e+01	3.16228e+03	1.000e+02	1.01000e-01	1.89490e-25	1.61070e-22
79	1.00000e+02	3.16228e+03	1.000e+02	1.57000e-01	5.34460e-25	1.38840e-21
80	3.16228e+02	3.16228e+03	1.000e+02	2.28000e-01	1.51660e-24	1.07870e-20
81	1.00000e+03	3.16228e+03	1.000e+02	2.97000e-01	4.29740e-24	6.52770e-20
82	3.16228e+03	3.16228e+03	1.000e+02	3.34000e-01	1.22430e-23	2.75130e-19
83	1.00000e+04	3.16228e+03	1.000e+02	3.98000e-01	3.81560e-23	1.22700e-18
84	3.16228e+04	3.16228e+03	1.000e+02	9.60000e-01	1.20450e-22	4.63860e-18
85	1.00000e+05	3.16228e+03	1.000e+02	3.49000e+00	3.81280e-22	2.08590e-17
86	3.16228e+05	3.16228e+03	1.000e+02	7.55000e+00	1.20410e-21	1.47170e-16
87	1.00000e+06	3.16228e+03	1.000e+02	1.31000e+01	3.79100e-21	1.14710e-15
88	3.16228e+06	3.16228e+03	1.000e+02	2.02000e+01	1.19200e-20	7.04820e-15
89	1.00000e+07	3.16228e+03	1.000e+02	1.62000e+01	3.79360e-20	3.21090e-14
90	3.16228e+07	3.16228e+03	1.000e+02	3.04000e+01	1.20170e-19	1.14560e-13
91	1.00000e+08	3.16228e+03	1.000e+02	6.90000e+01	3.80170e-19	3.80710e-13
92	3.16228e+08	3.16228e+03	1.000e+02	1.58000e+02	1.20260e-18	1.23460e-12
93	1.00000e+09	3.16228e+03	1.000e+02	3.60000e+02	3.80340e-18	3.96590e-12
94	3.16228e+09	3.16228e+03	1.000e+02	7.84000e+02	1.20280e-17	1.27340e-11
95	1.00000e+10	3.16228e+03	1.000e+02	1.65000e+03	3.80380e-17	4.11680e-11
96	3.16228e+10	3.16228e+03	1.000e+02	3.47000e+03	1.20290e-16	1.34730e-10
97	1.00000e+11	3.16228e+03	1.000e+02	7.40000e+03	3.80410e-16	4.52480e-10
98	3.16228e+11	3.16228e+03	1.000e+02	1.67000e+04	1.20310e-15	1.58990e-09
99	1.00000e+12	3.16228e+03	1.000e+02	4.24000e+04	3.80510e-15	6.09730e-09
100	1.00000e-04	3.16228e+03	1.000e+03	1.05000e-04	2.12040e-30	2.82180e-33
101	3.16228e-04	3.16228e+03	1.000e+03	3.10000e-04	6.86300e-30	2.22680e-32
102	1.00000e-03	3.16228e+03	1.000e+03	8.37000e-04	2.27290e-29	1.72770e-31
103	3.16228e-03	3.16228e+03	1.000e+03	2.00000e-03	7.64080e-29	1.19030e-30
104	1.00000e-02	3.16228e+03	1.000e+03	4.30000e-03	2.55060e-28	8.06020e-30
105	3.16228e-02	3.16228e+03	1.000e+03	8.56000e-03	8.37520e-28	6.90030e-29
106	1.00000e-01	3.16228e+03	1.000e+03	1.62000e-02	2.69990e-27	8.11620e-28
107	3.16228e-01	3.16228e+03	1.000e+03	2.99000e-02	8.52930e-27	1.08320e-26
108	1.00000e+00	3.16228e+03	1.000e+03	5.40000e-02	2.64760e-26	1.40880e-25
109	3.16228e+00	3.16228e+03	1.000e+03	9.62000e-02	8.12960e-26	1.69190e-24
110	1.00000e+01	3.16228e+03	1.000e+03	1.69000e-01	2.48740e-25	1.84570e-23
111	3.16228e+01	3.16228e+03	1.000e+03	2.89000e-01	7.62450e-25	1.83550e-22
112	1.00000e+02	3.16228e+03	1.000e+03	4.82000e-01	2.34720e-24	1.69380e-21
113	3.16228e+02	3.16228e+03	1.000e+03	7.69000e-01	7.25160e-24	1.44980e-20
114	1.00000e+03	3.16228e+03	1.000e+03	1.15000e+00	2.24020e-23	1.08360e-19
115	3.16228e+03	3.16228e+03	1.000e+03	1.58000e+00	6.86910e-23	5.97310e-19
116	1.00000e+04	3.16228e+03	1.000e+03	1.94000e+00	2.08260e-22	2.03150e-18
117	3.16228e+04	3.16228e+03	1.000e+03	3.17000e+00	6.46370e-22	6.03210e-18
118	1.00000e+05	3.16228e+03	1.000e+03	9.27000e+00	2.04510e-21	1.83610e-17
119	3.16228e+05	3.16228e+03	1.000e+03	2.03000e+01	6.46340e-21	1.03010e-16
120	1.00000e+06	3.16228e+03	1.000e+03	3.74000e+01	2.03610e-20	8.22070e-16
121	3.16228e+06	3.16228e+03	1.000e+03	6.35000e+01	6.41130e-20	5.73130e-15
122	1.00000e+07	3.16228e+03	1.000e+03	1.01000e+02	2.01690e-19	2.85250e-14
123	3.16228e+07	3.16228e+03	1.000e+03	1.45000e+02	6.37980e-19	1.09750e-13
124	1.00000e+08	3.16228e+03	1.000e+03	1.17000e+02	2.03100e-18	3.79480e-13
125	3.16228e+08	3.16228e+03	1.000e+03	2.54000e+02	6.42600e-18	1.23400e-12
126	1.00000e+09	3.16228e+03	1.000e+03	5.72000e+02	2.03270e-17	3.97590e-12
127	3.16228e+09	3.16228e+03	1.000e+03	1.35000e+03	6.42850e-17	1.27960e-11
128	1.00000e+10	3.16228e+03	1.000e+03	3.07000e+03	2.03290e-16	4.12590e-11
129	3.16228e+10	3.16228e+03	1.000e+03	6.61000e+03	6.42880e-16	1.34130e-10
130	1.00000e+11	3.16228e+03	1.000e+03	1.38000e+04	2.03310e-15	4.47520e-10
131	3.16228e+11	3.16228e+03	1.000e+03	2.82000e+04	6.43040e-15	1.59650e-09
132	1.00000e+12	3.16228e+03	1.000e+03	5.96000e+04	2.03400e-14	6.37130e-09
133	1.00000e-04	3.16228e+03	1.000e+04	1.09000e-04	2.16070e-30	4.48920e-33
134	3.16228e-04	3.16228e+03	1.000e+04	3.42000e-04	7.28460e-30	3.81980e-32
135	1.00000e-03	3.16228e+03	1.000e+04	1.05000e-03	2.72590e-29	2.81430e-31
136	3.16228e-03	3.16228e+03	1.000e+04	3.10000e-03	1.21060e-28	2.22330e-30
137	1.00000e-02	3.16228e+03	1.000e+04	8.37000e-03	6.06670e-28	1.72490e-29
138	3.16228e-02	3.16228e+03	1.000e+04	2.00000e-02	2.92560e-27	1.18640e-28
139	1.00000e-01	3.16228e+03	1.000e+04	4.29000e-02	1.24580e-26	8.01720e-28
140	3.16228e-01	3.16228e+03	1.000e+04	8.51000e-02	4.73840e-26	6.88710e-27
141	1.00000e+00	3.16228e+03	1.000e+04	1.61000e-01	1.66960e-25	8.16120e-26
142	3.16228e+00	3.16228e+03	1.000e+04	2.95000e-01	5.61330e-25	1.09220e-24
143	1.00000e+01	3.16228e+03	1.000e+04	5.32000e-01	1.83660e-24	1.41630e-23
144	3.16228e+01	3.16228e+03	1.000e+04	9.43000e-01	5.92250e-24	1.68580e-22
145	1.00000e+02	3.16228e+03	1.000e+04	1.65000e+00	1.89730e-23	1.80100e-21
146	3.16228e+02	3.16228e+03	1.000e+04	2.82000e+00	6.06440e-23	1.70700e-20
147	1.00000e+03	3.16228e+03	1.000e+04	4.67000e+00	1.93650e-22	1.39910e-19
148	3.16228e+03	3.16228e+03	1.000e+04	7.42000e+00	6.16880e-22	9.11660e-19
149	1.00000e+04	3.16228e+03	1.000e+04	1.11000e+01	1.95330e-21	4.17400e-18
150	3.16228e+04	3.16228e+03	1.000e+04	1.67000e+01	6.12550e-21	1.17170e-17
151	1.00000e+05	3.16228e+03	1.000e+04	3.28000e+01	1.92660e-20	2.03380e-17
152	3.16228e+05	3.16228e+03	1.000e+04	6.51000e+01	6.05160e-20	4.99370e-17
153	1.00000e+06	3.16228e+03	1.000e+04	1.19000e+02	1.88630e-19	3.08330e-16
154	3.16228e+06	3.16228e+03	1.000e+04	2.13000e+02	5.90750e-19	2.79720e-15
155	1.00000e+07	3.16228e+03	1.000e+04	3.73000e+02	1.85800e-18	1.83230e-14
156	3.16228e+07	3.16228e+03	1.000e+04	6.20000e+02	5.85150e-18	8.74520e-14
157	1.00000e+08	3.16228e+03	1.000e+04	9.83000e+02	1.84270e-17	3.42010e-13
158	3.16228e+08	3.16228e+03	1.000e+04	1.36000e+03	5.83210e-17	1.19190e-12
159	1.00000e+09	3.16228e+03	1.000e+04	1.14000e+03	1.85520e-16	3.98200e-12
160	3.16228e+09	3.16228e+03	1.000e+04	2.46000e+03	5.86940e-16	1.28780e-11
161	1.00000e+10	3.16228e+03	1.000e+04	5.59000e+03	1.85750e-15	4.18640e-11
162	3.16228e+10	3.16228e+03	1.000e+04	1.33000e+04	5.88510e-15	1.37210e-10
163	1.00000e+11	3.16228e+03	1.000e+04	3.02000e+04	1.87170e-14	4.61670e-10
164	3.16228e+11	3.16228e+03	1.000e+04	6.39000e+04	6.01060e-14	1.67510e-09
165	1.00000e+12	3.16228e+03	1.000e+04	1.26000e+05	1.95780e-13	7.08330e-09
166	1.00000e-04	3.16228e+03	1.000e+05	1.10000e-04	2.16790e-30	4.96490e-33
167	3.16228e-04	3.16228e+03	1.000e+05	3.46000e-04	7.34290e-30	4.77960e-32
168	1.00000e-03	3.16228e+03	1.000e+05	1.09000e-03	2.81120e-29	4.48330e-31
